Source,Target,Weight,Type
agnipurana_u,brahmandapurana_khanda-3_u,7,undirected
agnipurana_u,brahmandapurana,1,undirected
agnipurana_u,devibhagavatapurana_devigita_adhyaya-31-40,1,undirected
agnipurana_u,devipurana,9,undirected
agnipurana_u,garudapurana_khanda-1_u,22,undirected
agnipurana_u,lingapurana_khanda-2_u,7,undirected
agnipurana_u,matsyapurana_pu,16,undirected
agnipurana_u,naradapurana_khanda-1_u,22,undirected
agnipurana_u,sivapurana_vidyesvarasamhita_au,6,undirected
agnipurana_u,skandapurana_pasupata_adhyaya174-183_u,1,undirected
agnipurana_u,vayupurana_10_gaya-mahatmya_iast,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,17,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,8,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-05_u,6,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,17,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-02_u,visnudharma_pu,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,17,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-08_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,17,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,19,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-01_u,6,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-12_u,24,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,16,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,8,undirected
bhagavatapurana_skandha-06_u,mahabharata_12-appendix-29_moksadharma,3,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-04_u,12,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,16,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,11,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,13,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,6,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,19,undirected
