"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.562790178960903 0.569182578488429 0.569595481232528 0.574989368339209 0.566739583907443 0.60259906333733 0.624714187245498 0.600224355252127 0.595229681989899 0.631889482957407 0.587174751614933 0.585773244119538 0.504972987979006 0.369748209093758 0.51009650079696 0.494414525983044 0.416647408173865 0.404970439870502 0.456684093719711 0.490938258091953 0.43221971902321 0.345178242446787 0.258193409081599 0.413415894277132 0.501449482765902 0.429313465221196 0.523240283275373 0.500789148239774 0.504905065115975 0.510216942557231 0.431856714241206 0.60220479543006 0.510103046768466 0.453131200368126 0.397729646601833 0.333143544894892 0.540830817921278 0.514071291384737 0.518247354856665 0.538448576223056 0.543363971117194 0.524090050543332 0.520795536060943 0.496130902050472 0.523524698506812 0.509264724179649 0.521164168860007 0.510498108969557 0.527638118361858 0.513724134399516 0.490776765457434 0.486641782196773 0.434480540497431 0.49588365430097 0.523719178688291 0.567344124610563 0.572419408569057 0.610446973010335 0.564043530478418 0.498771597337731 0.504023783911722 0.565531233225779 0.516478198056887 0.35996317000369 0.285109568953734 0.524954678885888 0.437659095705591 0.504471414314145 0.514998024617242 0.592852723851404 0.527995750483036 0.534326897965681 0.553709467528139 0.520273274512687 0.567651788873641 0.527124979503763 0.550897498702762 0.485976464232169 0.494758202129006 0.456924704178359 0.474836636211807 0.539378971014347 0.544170238319051 0.443362506573356 0.6268658169445 0.470622708722234 0.403895570615065 0.368006335285425 0.489395730241675 0.531925746348805 0.423181914430504 0.48005758193448 0.54270688713208 0.453199649410725 0.508420380798898 0.516445431663044 0.483832428524067 0.52099255445446 0.472624168255857 0.522363335638258 0.529934014963345 0.59660602770363 0.568116451144954 0.535235933353062 0.601252760981005 0.433535211488255 0.4052096420771 0.506033435727466 0.40250524203161 0.476746430468341 0.521253715414496 0.591526941329516 0.539247712981531 0.405718930807787 0.534115410961034 0.689185094657073 0.590157029540703 0.510841151529012
"bhagavatapurana_skandha-01_u" 0.562790178960903 0 0.357996514051461 0.315126972366574 0.256312537639685 0.395914487545362 0.32633214786431 0.344354874533185 0.343969444346668 0.367930414129097 0.528122889317067 0.282420007802855 0.361749488833411 0.342989794826806 0.465681153434462 0.601702227569135 0.398819048742819 0.524925065670908 0.456095557221132 0.448223964775906 0.514017931413761 0.420176259578987 0.505608855499815 0.565664926752702 0.45191272517344 0.576777512101829 0.480603158932211 0.479841427017787 0.530008494091402 0.548529265162197 0.41917794983796 0.459172686925243 0.590609816099926 0.416467925466521 0.457597094216044 0.540623640390174 0.553586694909139 0.443467554006552 0.577988123145333 0.435893763638659 0.431573278169335 0.408487161232375 0.428814821553003 0.485454342390204 0.476625149354413 0.467213219067778 0.4541459752653 0.514238224262771 0.461456772372455 0.420908690233457 0.518154489342987 0.428564071419609 0.463040251178121 0.515129674803542 0.546281559001998 0.45382713014966 0.509460019797521 0.561691090900249 0.574597156398104 0.531442820422676 0.419846923851689 0.517698111279595 0.467789764649876 0.429924257990338 0.48286378941654 0.486831035921548 0.425945886871318 0.568106800497393 0.410785891282911 0.395896873192741 0.589542045660592 0.482650826889149 0.45783835913862 0.441505880469376 0.457729171504109 0.473141137654753 0.439235810542952 0.450612588829373 0.419396457498442 0.557395477663452 0.533242262788176 0.4334150070635 0.538339209361638 0.447090199970057 0.486890233665228 0.503256130222325 0.416299146615427 0.451620475200936 0.536514109518433 0.514979184748889 0.408109054890247 0.469333903893296 0.571811168583874 0.523605868984904 0.538130563017804 0.457232318003351 0.471258283734984 0.486467845384319 0.5919357658468 0.595282773731349 0.558430701612148 0.666776771087559 0.682635362891626 0.646397877177119 0.638226153901285 0.649273530540157 0.524638342030299 0.508348495600543 0.458844703615203 0.52375747556079 0.450247784169576 0.503930163751142 0.495789779894421 0.539819654176385 0.490542348855326 0.556953003166466 0.562376869987173 0.607326232320508 0.466092016275894
"bhagavatapurana_skandha-02_u" 0.569182578488429 0.357996514051461 0 0.349398682042834 0.364590270383469 0.422492336127381 0.397217035874985 0.389874814010204 0.428629652249587 0.433241441003935 0.535737253358029 0.392381635549748 0.338401404698038 0.4160991418398 0.499786042380918 0.632376635317469 0.479057291059527 0.537977282397209 0.494150925230599 0.523365816140171 0.489438881773148 0.474673506762515 0.524916197106152 0.564592467815715 0.481178334247291 0.586008494992461 0.557849832966554 0.525851659672372 0.60574653575213 0.631514450161673 0.531827411174354 0.519021726578709 0.577591160274686 0.466821852923657 0.46364281728117 0.580313045611856 0.58685847467582 0.532713620060444 0.623648274161375 0.531453377308756 0.53136565762288 0.51594478023005 0.511790922337098 0.584557429663117 0.57227090274247 0.569256232442991 0.570886762553821 0.618153654042086 0.517582856559562 0.528541058836403 0.535349991563282 0.505606792245788 0.517994889318191 0.545496622163962 0.575933970212522 0.531509196046187 0.581997351834161 0.608036377070936 0.617191619733601 0.58968853524726 0.490997930081198 0.58032184137324 0.516367688469844 0.499131610348268 0.553542039135749 0.491138803197721 0.444110218592145 0.630427070796082 0.495090058207839 0.470742185669607 0.59472613253012 0.556029265089649 0.540738889684049 0.534052633936076 0.543609527839311 0.5507719988644 0.552178039736895 0.553683493211891 0.449209651100509 0.562356479191691 0.565174103511254 0.482585452093266 0.570196758207013 0.511187598622665 0.528320690633491 0.560218796965248 0.451879428819327 0.509197485728381 0.548069125790342 0.60486198693993 0.426340393962678 0.538954502092025 0.566341931957947 0.60395877129223 0.562486809001897 0.556640948009086 0.546123144602306 0.557266235627607 0.603887212669793 0.629408479309469 0.61592116665836 0.68335130405739 0.692626440633861 0.686020027302286 0.665684584452356 0.708119105972614 0.56499951661242 0.564958960638722 0.510895526300498 0.582556425646336 0.460783044958413 0.570769961639591 0.526482747547315 0.578011937195525 0.49386806982142 0.59478846309793 0.607959630751402 0.628724591145337 0.50774272974136
"bhagavatapurana_skandha-03_u" 0.569595481232528 0.315126972366574 0.349398682042834 0 0.262528065638289 0.386065259258036 0.346290849135904 0.35201413535953 0.360711607278167 0.378074283625929 0.531801625105071 0.299998574291901 0.388727521430044 0.393049166295327 0.472746964857285 0.619347834697047 0.434293541826444 0.529078599273032 0.474807102726775 0.493390673545362 0.535050613527198 0.468354222366375 0.497504648185556 0.560664107281496 0.499625737413689 0.58446928191629 0.489391816659822 0.505530487496213 0.565020023284295 0.575101952471674 0.456928013003509 0.469906903753105 0.613271221532091 0.410651552395521 0.471375174117041 0.549503599629852 0.56754406849907 0.506455830758423 0.576643745807281 0.505825834417119 0.497471652282577 0.484787183003855 0.477472650460539 0.535301577398724 0.503678674477602 0.520822733976767 0.504873080767289 0.566191496156722 0.49789285783056 0.49125673998533 0.55465159590915 0.480421531877762 0.499789302729542 0.529162398979829 0.60097525981754 0.508442063288285 0.556527493609698 0.588605823221571 0.610551634596178 0.577430265268851 0.470831002434978 0.522561027161106 0.488053011534872 0.464837026569793 0.526763956814174 0.48392488830259 0.455345724351763 0.600410558946074 0.428853826494809 0.440305088406133 0.583712946482406 0.511028746782551 0.50623020091408 0.490519797217889 0.520523898738152 0.531265794154929 0.486977032379283 0.499390405726594 0.44190189025424 0.560042844984497 0.562725144442444 0.449944426773398 0.576853545190381 0.445829655915542 0.503056072503242 0.504739158651955 0.424334893608361 0.484827178854085 0.557447784286297 0.54492038191004 0.437805321147108 0.510571986266966 0.588601434955024 0.54303535294052 0.566411289371081 0.479015670060233 0.487280674369882 0.486154327306389 0.605692779866954 0.625482215537073 0.586767273864362 0.688175470935811 0.688940660656288 0.671326146959675 0.646896870208425 0.698353204107823 0.531675810100568 0.515698202537917 0.502514122624987 0.556535936338999 0.449323637819795 0.538969868546964 0.488333539537851 0.5478027003093 0.505722334459076 0.57281259461096 0.594005168088878 0.61746277241906 0.492530794390669
"bhagavatapurana_skandha-04_u" 0.574989368339209 0.256312537639685 0.364590270383469 0.262528065638289 0 0.367712454801777 0.331705874803533 0.326611818779622 0.330752452584626 0.347712415763957 0.515921415979553 0.276522671973967 0.35507101213819 0.382483102215831 0.477257237804038 0.637113162130142 0.430663031161589 0.538152601454985 0.475073640306423 0.474364542863843 0.504291580093005 0.448314212509275 0.494602097890398 0.580430440832605 0.485415708136513 0.574183343770194 0.492561218721242 0.49942483935856 0.55851552110944 0.582338944187449 0.448209091939065 0.483663805722303 0.606854499924178 0.40062998012182 0.482559542007856 0.561275093600548 0.556889375671141 0.485262913294999 0.58316096818927 0.478559141873257 0.473576556602662 0.471785121637756 0.463977385159991 0.518419845220111 0.497326384982275 0.495900256992446 0.493115978943648 0.546712472991882 0.475829603610405 0.44992109984741 0.539423379844698 0.459673476094151 0.483214423503347 0.522330082366154 0.576316617588433 0.501401417685627 0.546188804514318 0.586506213249836 0.604844791015846 0.559246655574836 0.460204881219641 0.537269104616995 0.488698931846763 0.461239602852049 0.521187306002852 0.483484145112672 0.422391392550575 0.586365909079505 0.432320919659341 0.42324258634722 0.572495876949365 0.486515349138898 0.481089778371315 0.462978912320161 0.472415896907642 0.492689169667635 0.44793210060463 0.46739479801336 0.433686122048087 0.536496058588508 0.527076589688122 0.41627241667235 0.580661594903658 0.473911998199181 0.493706852961679 0.532272778133626 0.424046416165031 0.476559598806271 0.548616749147208 0.53764779325554 0.410006804495823 0.506342574357818 0.575159932251494 0.550852294521198 0.560552850216657 0.470975629691883 0.502182442550723 0.478496934801561 0.61236230101148 0.61887625679503 0.596342486306808 0.679044542707865 0.708620559531172 0.673817407241744 0.655458079959504 0.689646703552335 0.549995576356015 0.49991534563546 0.501389682281545 0.550485747519858 0.432049741426151 0.556317800519311 0.499023719652678 0.566640012632205 0.499207458756968 0.569971382727652 0.59713569675588 0.642903018625562 0.478377501499883
"bhagavatapurana_skandha-05_u" 0.566739583907443 0.395914487545362 0.422492336127381 0.386065259258036 0.367712454801777 0 0.382131738502189 0.413639713122623 0.453746412355216 0.401249251095627 0.488932024476364 0.385325955870052 0.412983459545188 0.363290204324576 0.439154913945052 0.576170196912645 0.431711444795838 0.478880811870321 0.428408244128883 0.518982417488923 0.491328648448469 0.493924352390774 0.504383428492367 0.525042642572289 0.481784652738232 0.557425904476663 0.53978904064304 0.507111143466559 0.584455712781572 0.61093939399561 0.505759539834404 0.489042597871055 0.565840521300237 0.432080158104089 0.472937281342771 0.527094971620751 0.51534502338308 0.52634054776346 0.601483287737248 0.533712270408682 0.524085937043024 0.538151854922345 0.514258118239293 0.570177206134917 0.532062671931966 0.575526699212499 0.562974124601496 0.583644762026311 0.54372324665847 0.522757344978848 0.525779728325895 0.498950963058655 0.526779133858234 0.553684326945277 0.606337442448664 0.531624124008262 0.572215094466226 0.595012845345457 0.637044989297788 0.595930215757844 0.492368605158412 0.55344175430434 0.551114411917265 0.503401055393652 0.505174707819626 0.455407302793995 0.512994207463607 0.596856872992769 0.460786952075185 0.429040791226 0.526779260763293 0.559038380177438 0.552974381780394 0.551846238682714 0.572743271273024 0.586187530003595 0.562286782135837 0.552395839735501 0.402420284856815 0.573215710740509 0.551561919915142 0.456704185121022 0.61727231709703 0.494619315792341 0.47118575514882 0.551289835109379 0.437734707387723 0.441814736641467 0.481757823813245 0.599675799058423 0.408498201413986 0.525966902010278 0.54260420955519 0.586758527591241 0.569984699048508 0.52715017019984 0.554396946512002 0.53262823205872 0.594700695683911 0.58136844076575 0.598028600862041 0.661738166293037 0.661929266694177 0.663928840232638 0.638442832523239 0.676547266417679 0.540203630905762 0.541574410797218 0.503797279998001 0.526987961514553 0.510629361901732 0.542793198793972 0.558992642362015 0.542381232838442 0.519410431334172 0.518649453529703 0.626697058504287 0.631620280683829 0.487287344596486
"bhagavatapurana_skandha-06_u" 0.60259906333733 0.32633214786431 0.397217035874985 0.346290849135904 0.331705874803533 0.382131738502189 0 0.241553007542214 0.274455131360836 0.34702878731257 0.533282054007589 0.283014058425038 0.279367707889565 0.362000173895507 0.470239583245687 0.563008933229677 0.394579629549454 0.528403459180516 0.453130490109494 0.440646312619301 0.498910677757485 0.4376070462163 0.533158244489412 0.563716193902971 0.424367931914044 0.544790663683948 0.497337225159743 0.486228779009307 0.561413837065926 0.588460420607089 0.454328222369925 0.470599502468931 0.588617333021749 0.416112114341939 0.455317461100954 0.533072926599726 0.57995411976849 0.430369651971218 0.580470428508444 0.417491427394206 0.417930372291587 0.417417848787567 0.403143648346297 0.519706715297518 0.488703158393506 0.506186685976445 0.502106208775092 0.538231372127897 0.444960282034581 0.442793107360285 0.499053200335107 0.38517351614068 0.407689983385931 0.534871168713603 0.530223798537332 0.441976580481024 0.508380136152193 0.541304968722746 0.548406765109265 0.536129875252699 0.435946618281747 0.498922329528904 0.461029147440842 0.435104280717904 0.484140506979828 0.520215505041822 0.426313341727762 0.571105611713122 0.408536150712276 0.400745147228984 0.619580562812236 0.478942400408904 0.478143137878005 0.506663024136898 0.489540887554797 0.502477331971916 0.490964930334482 0.461649231702287 0.390396918810425 0.578872858097826 0.588120212567625 0.444054491773768 0.540858760458941 0.438426576809594 0.504865092515807 0.490571672731769 0.407961911629902 0.477276233089474 0.5533670266646 0.559257408830495 0.414014845963273 0.480935565553154 0.564739608217869 0.519659070209726 0.562346116455669 0.462405334847568 0.478301143718192 0.47361956361309 0.587855967719261 0.585050599065966 0.558184797140662 0.677171386695902 0.645836325043893 0.637110317955841 0.626992907278337 0.65937467492232 0.54795838807811 0.529218416665947 0.410308256885507 0.527870144583414 0.448723187240826 0.502698327393536 0.422502218700789 0.498264919955982 0.480537855266891 0.57112273463373 0.52529269827461 0.568142698556064 0.407703497289939
"bhagavatapurana_skandha-07_u" 0.624714187245498 0.344354874533185 0.389874814010204 0.35201413535953 0.326611818779622 0.413639713122623 0.241553007542214 0 0.292882897356342 0.357553721641591 0.5400571632108 0.278116666849827 0.28723889537769 0.38249617493079 0.515673974805095 0.6132674641422 0.463886696341463 0.558280926100279 0.509456516029097 0.510264287932046 0.510986682034384 0.4702633110701 0.559726064486714 0.595086829616009 0.478639279940805 0.561101108180973 0.54818120791114 0.519450454214055 0.61370722349788 0.640860839025603 0.522558521103602 0.53416681599419 0.59866277189984 0.472514153471928 0.511416274393248 0.576869470453267 0.589921072802905 0.498936217297786 0.630562677085961 0.476856068611281 0.489148603649599 0.478285431647727 0.467609845833783 0.574962922025625 0.533001426918604 0.561813903862306 0.558283254780853 0.606220638199039 0.504515538867098 0.476375745254617 0.55985155058989 0.444223134924976 0.475447350686941 0.571424894653669 0.580470160718643 0.495197656798215 0.565720230004348 0.614231878676571 0.588596545496611 0.572820272303076 0.487937091550802 0.551316565412241 0.523181728499777 0.494210457560159 0.551602265686102 0.54226488834113 0.464207587874525 0.613140930854724 0.474494300518265 0.456499101129653 0.603766670610004 0.55395656944648 0.529078556875359 0.535834361106098 0.536669356711689 0.548133877423175 0.543172121252282 0.537624870013526 0.439582233041174 0.619684343313152 0.594541916930439 0.495351862236164 0.590282288558639 0.484323599918921 0.543023855394642 0.514938973886506 0.437781934872736 0.533961672031603 0.562852253104213 0.560113882955371 0.455356444168403 0.522985882192524 0.583911492516786 0.575456938533266 0.591684735737654 0.539733475561916 0.532705495470845 0.545837794788421 0.6161895910199 0.628631281364438 0.611687292320576 0.705400661288817 0.700644733670764 0.68575072934478 0.664742026950925 0.697619816523798 0.587710342792557 0.55210210442566 0.463086399962025 0.577270318898055 0.48722794734284 0.535258167288131 0.448105080045317 0.532437196851638 0.511268975216856 0.60488952837189 0.543924232732309 0.601566891954621 0.448901783225157
"bhagavatapurana_skandha-08_u" 0.600224355252127 0.343969444346668 0.428629652249587 0.360711607278167 0.330752452584626 0.453746412355216 0.274455131360836 0.292882897356342 0 0.329550615387532 0.565020865283874 0.256019622786512 0.363543547511698 0.382672894731429 0.458620095672773 0.575958120432385 0.361687336196968 0.525660994046018 0.441841003289696 0.432708731440554 0.49416693869441 0.425568477517837 0.514883662828139 0.569458281944909 0.459298637161903 0.571807631073617 0.482160586534451 0.476487870839083 0.556638499161935 0.548286932959655 0.429797657118777 0.48175969759398 0.586430753689484 0.363344590747848 0.483772154957784 0.538434069926762 0.562235691446965 0.416756423691434 0.54513554351823 0.441404584716624 0.419697736286883 0.448338560055589 0.460922698398597 0.501947297175473 0.464708851906063 0.485726235153651 0.493265632641949 0.535508294312053 0.445267562699305 0.456639842861145 0.547786057487184 0.454095923839867 0.449646513289911 0.55211889107131 0.587318380175898 0.452767210356297 0.50807877601617 0.551410424886538 0.576437466482937 0.538628158844765 0.433420622775298 0.480646208106782 0.449714970652816 0.414927615493931 0.49992730854437 0.531030190510031 0.468498907956627 0.560907703905405 0.396259690626877 0.377972414136886 0.604694002820228 0.470017287508064 0.487420449463929 0.470541078657219 0.490842085847037 0.509331360893388 0.453520915226111 0.455575511056606 0.394861399377176 0.583933244929546 0.578615371677441 0.440716328886043 0.525814349566613 0.424124356760624 0.485116032260116 0.440961878992557 0.399250539647251 0.494165379202466 0.565532460937603 0.526656939328323 0.437700855501101 0.452350085707746 0.581896021525564 0.489509014543568 0.574559156854583 0.458828902162381 0.443128570658398 0.467384771730761 0.612827038287814 0.623482788334564 0.543123682743058 0.677580070696945 0.673594898531579 0.655703772923724 0.643702809350404 0.651462090275302 0.557772725841027 0.534251280889706 0.399317841064861 0.532467872256594 0.481131252225559 0.469373319767606 0.377215065700557 0.483106378418711 0.497690548568569 0.583126913831006 0.516636613700417 0.540339960493653 0.396515138632574
"bhagavatapurana_skandha-09_u" 0.595229681989899 0.367930414129097 0.433241441003935 0.378074283625929 0.347712415763957 0.401249251095627 0.34702878731257 0.357553721641591 0.329550615387532 0 0.566921568330478 0.284679367507266 0.42919339080688 0.325295913674862 0.445226053239079 0.604850092950839 0.375390415765481 0.510785614250785 0.441513016472768 0.465069308496077 0.493260101424528 0.452240519649566 0.553660053530865 0.554986462371563 0.464509358972106 0.56708623675936 0.504868608330337 0.494463827558067 0.577142483033125 0.595560626416537 0.464463160880531 0.47965358508136 0.61746085167452 0.40619380342609 0.480759056519118 0.546098339939051 0.563569725344242 0.460510545622682 0.5542693716944 0.485738592598553 0.466805627181811 0.486746378430925 0.495745717820145 0.52827607467724 0.462923753084114 0.507216681165225 0.516256780712465 0.5454585839187 0.481262148070808 0.490752455299888 0.574592764249007 0.474612340836309 0.498763085569702 0.583792299905339 0.588947751860313 0.482238504074888 0.537701462524036 0.549344089703186 0.609053607530662 0.572949682274091 0.436147903002253 0.526716820218437 0.478400426142117 0.442541469160108 0.515462214645658 0.50894430959141 0.474257408004479 0.575943660117813 0.399380905120525 0.418880205637641 0.607234904755037 0.496149697458239 0.518388232864954 0.492655130658203 0.514319738355362 0.527666051515008 0.495919544694145 0.485318961121466 0.400329666215933 0.608558375218036 0.589106291533015 0.453081414563976 0.582447529560697 0.446845492313315 0.525238725991172 0.484380268033984 0.39251724444523 0.47170901149382 0.545001124223585 0.556567561432911 0.43690239753729 0.509704017145591 0.600025594446389 0.542847476751136 0.572087241703552 0.50080182930351 0.49265837246035 0.482141206042046 0.646724955039531 0.60643416835261 0.57652071279237 0.677456982301542 0.704807041299932 0.656983453215426 0.641261849864615 0.643185032582608 0.575268210828649 0.51896437062154 0.46226425585154 0.541905763851894 0.520640438869594 0.477330563904894 0.482116021981311 0.512344757971644 0.505966157687464 0.498186504304951 0.585081293810696 0.611104251849703 0.423297136424375
