Source,Target,Weight,Type
agnipurana_u,devipurana,2,undirected
agnipurana_u,garudapurana_khanda-1_u,24,undirected
agnipurana_u,matsyapurana_pu,1,undirected
agnipurana_u,naradapurana_khanda-1_u,14,undirected
agnipurana_u,sivapurana_vidyesvarasamhita_au,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,21,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-05_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-06_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,14,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,9,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,8,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-11_u,11,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,10,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,10,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,21,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,10,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,10,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,9,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,18,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,10,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-06_u,6,undirected
