Source,Target,Weight,Type
agnipurana_u,garudapurana_khanda-1_u,22,undirected
agnipurana_u,lingapurana_khanda-1_u,2,undirected
agnipurana_u,lingapurana_khanda-2_u,7,undirected
agnipurana_u,naradapurana_khanda-1_u,18,undirected
agnipurana_u,vayupurana_01_frame-and-cosmogony_iast,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,8,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,5,undirected
bhagavatapurana_skandha-01_u,mahabharata_04-virataparvan,8,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,16,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,16,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,4,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-12_u,5,undirected
bhagavatapurana_skandha-05_u,pranavakalpa,4,undirected
bhagavatapurana_skandha-05_u,saurapurana,6,undirected
bhagavatapurana_skandha-05_u,skandamahapurana_kasikhanda,22,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,24,undirected
