Source,Target,Weight,Type
agnipurana_u,devipurana,3,undirected
agnipurana_u,garudapurana_khanda-1_u,24,undirected
agnipurana_u,lingapurana_khanda-2_u,1,undirected
agnipurana_u,naradapurana_khanda-1_u,20,undirected
agnipurana_u,skandapurana_pasupata_adhyaya174-183_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,6,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,9,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-05_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,11,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,6,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,8,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-11_u,10,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,9,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,17,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,7,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,17,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,9,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,15,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,9,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-12_u,14,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,22,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,13,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-09_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,7,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,10,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,22,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,11,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,14,undirected
bhagavatapurana_skandha-07_u,visnupurana_amsa-5_u,3,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,13,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,7,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,24,undirected
bhagavatapurana_skandha-08_u,visnupurana_amsa-5_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-08_u,7,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-12_u,12,undirected
bhagavatapurana_skandha-09_u,visnupurana_amsa-4_u,1,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-05_u,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,pranavakalpa,13,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,sivapurana_vayaviyasamhita_au,3,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,skandamahapurana_kasikhanda,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,11,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,7,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,15,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-06_u,7,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-07_u,11,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,24,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-12_u,7,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-02_u,10,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-06_u,10,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,14,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-05_u,14,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-09_u,12,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-10_u,7,undirected
bhagavatapurana_skandha-12_u,visnupurana_amsa-2_u,2,undirected
bhavisyapurana,brahmandapurana,18,undirected
bhavisyapurana,devibhagavatapurana,7,undirected
bhavisyapurana,devipurana,9,undirected
bhavisyapurana,garudapurana_khanda-2_u,15,undirected
bhavisyapurana,garudapurana_khanda-3_u,8,undirected
bhavisyapurana,kalikapurana,8,undirected
bhavisyapurana,kurmapurana_khanda-2_u,2,undirected
bhavisyapurana,lingapurana_khanda-1_u,9,undirected
bhavisyapurana,lingapurana_khanda-2_u,2,undirected
bhavisyapurana,matsyapurana_pu,7,undirected
bhavisyapurana,nilamatapurana_au,5,undirected
bhavisyapurana,saurapurana,12,undirected
bhavisyapurana,sivapurana_dharmasamhita,8,undirected
bhavisyapurana,sivapurana_sanatkumarasamhita,4,undirected
bhavisyapurana,sivapurana_umasamhita,16,undirected
bhavisyapurana,sivapurana_vayaviyasamhita_au,6,undirected
bhavisyapurana,sivapurana_vidyesvarasamhita_au,2,undirected
bhavisyapurana,skandamahapurana_revakhanda,4,undirected
bhavisyapurana,vayupurana_revakhanda,6,undirected
bhavisyapurana,vayupurana,8,undirected
bhavisyapurana,visnupurana_amsa-3_u,9,undirected
bhavisyapurana,visnupurana_amsa-6_u,1,undirected
brahmandapurana_khanda-1_u,lingapurana_khanda-1_u,8,undirected
brahmandapurana_khanda-1_u,matsyapurana_pu,8,undirected
brahmandapurana_khanda-1_u,vayupurana_05_jyotis-and-purvardha-close_iast,11,undirected
brahmandapurana_khanda-1_u,vayupurana_07_shraddha-kalpa_iast,6,undirected
brahmandapurana_khanda-1_u,vayupurana,8,undirected
brahmandapurana_khanda-2_u,brahmandapurana,15,undirected
brahmandapurana_khanda-2_u,harivamsa_appendix-31,9,undirected
brahmandapurana_khanda-2_u,kurmapurana_khanda-1_u,8,undirected
brahmandapurana_khanda-2_u,nrsimhapurana_pu,23,undirected
brahmandapurana_khanda-2_u,padmapurana_a,12,undirected
brahmandapurana_khanda-2_u,sivapurana_rudrasamhita,3,undirected
brahmandapurana_khanda-2_u,sivapurana_satarudrasamhita_au,1,undirected
brahmandapurana_khanda-2_u,sivapurana_umasamhita,3,undirected
brahmandapurana_khanda-2_u,vamanapurana_u,4,undirected
brahmandapurana_khanda-2_u,vayupurana_revakhanda,2,undirected
brahmandapurana_khanda-2_u,visnudharmottarapurana_khanda-3_adhyaya-343-353_pu,7,undirected
brahmandapurana_khanda-2_u,visnupurana_amsa-2_u,1,undirected
brahmandapurana_khanda-3_u,brahmandapurana,24,undirected
brahmandapurana_khanda-3_u,devipurana,7,undirected
brahmandapurana_khanda-3_u,garudapurana_khanda-1_u,1,undirected
brahmandapurana_khanda-3_u,karatoyamahatmya_pu,12,undirected
brahmandapurana_khanda-3_u,naradapurana_khanda-1_u,5,undirected
brahmandapurana_khanda-3_u,pranavakalpa,2,undirected
brahmandapurana_khanda-3_u,vayupurana_09_upasamhara_iast,5,undirected
brahmandapurana,bhavisyapurana,18,undirected
brahmandapurana,brahmandapurana_khanda-2_u,15,undirected
brahmandapurana,brahmandapurana_khanda-3_u,24,undirected
brahmandapurana,devibhagavatapurana_devigita_adhyaya-31-40,2,undirected
brahmandapurana,devipurana,8,undirected
brahmandapurana,garudapurana_khanda-3_u,1,undirected
brahmandapurana,kalikapurana,1,undirected
brahmandapurana,kurmapurana_khanda-1_u,8,undirected
brahmandapurana,markandeyapurana_adhyaya-81-93_devimahatmya_u,7,undirected
brahmandapurana,padmapurana_a,1,undirected
brahmandapurana,sivapurana_dharmasamhita,3,undirected
brahmandapurana,sivapurana_umasamhita,3,undirected
brahmandapurana,sivapurana_vayaviyasamhita_au,12,undirected
brahmandapurana,skandamahapurana_kasikhanda,6,undirected
brahmandapurana,vayupurana,1,undirected
brahmandapurana,visnudharmottarapurana_khanda-3_adhyaya-343-353_pu,8,undirected
brahmandapurana,visnupurana_amsa-2_u,1,undirected
brahmandapurana,visnupurana_amsa-4_u,5,undirected
brahmapurana_pu,devibhagavatapurana,24,undirected
brahmapurana_pu,kalikapurana,14,undirected
brahmapurana_pu,markandeyapurana_adhyaya-1-80_u,10,undirected
brahmapurana_pu,markandeyapurana_adhyaya-94-141_u,4,undirected
brahmapurana_pu,markandeyapurana,8,undirected
brahmapurana_pu,nilamatapurana_au,1,undirected
brahmapurana_pu,nrsimhapurana_pu,1,undirected
brahmapurana_pu,sivapurana_karvanamahatmya_au,8,undirected
brahmapurana_pu,skandamahapurana_revakhanda,3,undirected
brahmapurana_pu,skandapurana_adhyaya-1-31_pu,5,undirected
brahmapurana_pu,vamanapurana_saromahatmya_u,12,undirected
brahmapurana_pu,vayupurana_revakhanda,1,undirected
brahmapurana_pu,visnudharma_pu,6,undirected
devibhagavatapurana_devigita_adhyaya-31-40,brahmandapurana,2,undirected
devibhagavatapurana_devigita_adhyaya-31-40,devibhagavatapurana,9,undirected
devibhagavatapurana_devigita_adhyaya-31-40,kalikapurana,7,undirected
devibhagavatapurana_devigita_adhyaya-31-40,kurmapurana_khanda-2_u,3,undirected
devibhagavatapurana_devigita_adhyaya-31-40,naradapurana_khanda-1_u,2,undirected
devibhagavatapurana_devigita_adhyaya-31-40,sivapurana_vidyesvarasamhita_au,1,undirected
devibhagavatapurana_devigita_adhyaya-31-40,skandamahapurana_sutasamhita_khanda-4,7,undirected
devibhagavatapurana,bhavisyapurana,7,undirected
devibhagavatapurana,brahmapurana_pu,24,undirected
devibhagavatapurana,devibhagavatapurana_devigita_adhyaya-31-40,9,undirected
devibhagavatapurana,kalikapurana,3,undirected
devibhagavatapurana,markandeyapurana_adhyaya-1-80_u,1,undirected
devibhagavatapurana,markandeyapurana,1,undirected
devibhagavatapurana,naradapurana_khanda-2_u,9,undirected
devibhagavatapurana,nrsimhapurana_pu,7,undirected
