"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kirfel_ppl_textgruppe_I_col1" "kirfel_ppl_textgruppe_Ia_col1" "kirfel_ppl_textgruppe_II_col1" "kirfel_ppl_textgruppe_IIA_col1" "kirfel_ppl_textgruppe_IIB_col1" "kirfel_ppl_textgruppe_III_col1" "kirfel_ppl_ungrouped_col1" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.548976186635054 0.561103424415172 0.563104764934958 0.566886394898089 0.56154958164629 0.592918638889512 0.611970593768329 0.601961711149693 0.586227347330414 0.629745961095324 0.577417214643303 0.578523539631852 0.49259745825322 0.361553796998906 0.508011352677296 0.48407398584896 0.412022556037111 0.396046237426074 0.449021257902477 0.49162229666053 0.422837884534877 0.34662966702454 0.23712861563198 0.4000592204302 0.499754327797753 0.40812742534079 0.51718036014836 0.473540652912194 0.493814697035162 0.495030084753792 0.428969058634733 0.596150021233477 0.490679650059268 0.555950443570433 0.421324274112404 0.44758098336283 0.527087623325908 0.477378951432411 0.503725790724885 0.50754796220624 0.451880388250384 0.39426172999923 0.330696298534646 0.523755152006977 0.49879301438726 0.494272096066406 0.51780277493712 0.523438787676877 0.506527744539285 0.494439064901423 0.480388449081894 0.501134987334068 0.486687192906749 0.494498981698957 0.490158127266884 0.505261332014899 0.496534602198008 0.476477607287738 0.474112544559693 0.414578433938253 0.485988004891268 0.503885676272987 0.549121572949003 0.547507864379503 0.588601696187964 0.544878533227403 0.486276825824285 0.497591209320785 0.556045631460285 0.505898291674199 0.3541969264445 0.276434197413807 0.521499065863724 0.425598949819746 0.49454039732267 0.511569167291418 0.589050811933427 0.511459706601233 0.51874213718265 0.540405338642077 0.501539484729548 0.555760484937237 0.508939765932314 0.534348144330901 0.48683250668769 0.500201087991387 0.456979012250154 0.468836350154131 0.530061014280649 0.541185781385366 0.443937556016716 0.624053225006347 0.465214246058644 0.397771576190235 0.36407038684369 0.482971002391023 0.529450122687635 0.41082692607293 0.478708958465072 0.541679170801835 0.434200040636535 0.501867979523389 0.517682258974976 0.47525532664576 0.509305683344889 0.467446276911222 0.520574178776679 0.516429982183709 0.599613992495527 0.557144484797638 0.523643541456933 0.59488724094787 0.410939865842625 0.386657074834745 0.499506233726675 0.39699626513727 0.473601627656861 0.512893969895379 0.589199212127341 0.532666600369395 0.404402163775415 0.523545142598971 0.688749164168714 0.58953597454474 0.506703892332421
"bhagavatapurana_skandha-01_u" 0.548976186635054 0 0.349973647937815 0.306818159796639 0.239699115934674 0.388377990192371 0.31813565144994 0.329281423673159 0.322469010225676 0.349715901431614 0.531990941086513 0.270677941641916 0.354373579619922 0.320589139383631 0.456583971063846 0.600280860342932 0.394032535165897 0.520313824451012 0.452908382402783 0.443005404135628 0.499031892229373 0.409975052915075 0.498158449002805 0.543342809443102 0.446464634826463 0.573665824399482 0.471543257530973 0.462052473003206 0.509464838873334 0.544399010371269 0.416016031013416 0.454798093093829 0.578462783626859 0.559419121374576 0.652774249330036 0.560094251628203 0.554376749935231 0.613525833150901 0.579804910503324 0.58475368755893 0.399765404722531 0.446525556334995 0.536190869063596 0.545794505122516 0.438046491253989 0.565709729693349 0.424984651867536 0.424339126578185 0.40422854991915 0.424684536244368 0.471820686582561 0.47351277922549 0.452611637922787 0.441059757777471 0.499676711916778 0.456491359910285 0.407287624686758 0.514476783391956 0.424070439679479 0.459563118889894 0.503871484195964 0.541200875203808 0.450113082108092 0.50358016497077 0.552920383755779 0.564302864716405 0.51957917916828 0.42117512653511 0.505002285145481 0.46548295616173 0.430471166257444 0.477521688066453 0.482424997142337 0.416852651426043 0.568102506151917 0.404302816437428 0.390332640985422 0.578906194120904 0.479427870824921 0.457186365541732 0.441561411366368 0.453998060787777 0.475137914754452 0.432191219276396 0.439429691992519 0.406648503091098 0.538991978145787 0.520298624769596 0.430077101075332 0.529550037921534 0.440138268766751 0.47464394453973 0.491233568750239 0.403193699495937 0.446905973123194 0.514224720350989 0.50060067294471 0.407068004947503 0.461648650521843 0.558789390276319 0.516169616120245 0.516036243596796 0.453476231546734 0.462083663096242 0.480046593649049 0.582637605020197 0.58466236953793 0.555955876814961 0.661847933324802 0.67630756801477 0.650896865672213 0.632715937632204 0.651634103208599 0.509209931406747 0.490294418459221 0.456187249263048 0.518388180215237 0.445151654392766 0.499561481570432 0.487765126559099 0.531647008701777 0.480906889442557 0.551725457690984 0.563825641765399 0.602405067419783 0.459816450727395
"bhagavatapurana_skandha-02_u" 0.561103424415172 0.349973647937815 0 0.344428276512889 0.360885389553929 0.423041868759879 0.392735508064226 0.382872892509133 0.422593808559458 0.420046988991191 0.530799999413501 0.38788833409545 0.330607871511217 0.407490865026797 0.49411216771355 0.636065333410998 0.479300625731477 0.532370778261582 0.493165346781151 0.515989163112379 0.48047939905679 0.469830582701875 0.518811621541306 0.54430888658722 0.465417198181402 0.581072546265893 0.549173280500239 0.523018984992382 0.595286845286845 0.625217584719411 0.527872635057402 0.514809503924795 0.56305374477132 0.630870655216025 0.685650171385765 0.607834300797295 0.587427354839801 0.640164134802382 0.605823185305107 0.632174005941888 0.457429366259944 0.457088070175252 0.576471521847053 0.580330522939506 0.527978975242856 0.618534083910363 0.521527872589353 0.524440926498808 0.510161373499173 0.505971674770865 0.570108000550151 0.567409986263333 0.554444307431201 0.558826874367365 0.604710622320607 0.508967150995792 0.517193503395081 0.531297577200399 0.500783135261788 0.513041544189044 0.52589719883824 0.570292337530144 0.527229490128978 0.575715351680682 0.601533720418318 0.605394260856869 0.580624617709495 0.484870694446116 0.567548128196352 0.509523906279027 0.49393303733541 0.552418714204912 0.487689876182187 0.432279140911848 0.629184693017923 0.491315967365034 0.464288896368017 0.586523710806601 0.553327062618942 0.53416342035348 0.528646110550304 0.537049362251245 0.545646550670726 0.546819007353251 0.544677357096753 0.43584850653309 0.551290985704695 0.555061383404927 0.477650939169478 0.557693403002643 0.505340900953464 0.516359717494959 0.552506439358519 0.443581682247053 0.50481464952275 0.531336015486501 0.59194729419806 0.419631400622779 0.536509235204012 0.552972522329492 0.600825514671228 0.546621708776644 0.55447470163254 0.53971909159697 0.555330907484022 0.603452701489858 0.625941422594142 0.619491168010106 0.677024785342235 0.690226893353941 0.681425234034186 0.655515805694318 0.713815575219999 0.552100754291955 0.55054680098003 0.504891352595363 0.582414696101531 0.458910453081752 0.567583948560224 0.526417556171493 0.57492033079182 0.485051045390181 0.58980161031038 0.60853904413685 0.626797090827085 0.506300459577514
"bhagavatapurana_skandha-03_u" 0.563104764934958 0.306818159796639 0.344428276512889 0 0.255322327071738 0.383750030253891 0.342942892142758 0.342091094257452 0.351582179906102 0.363926875615354 0.530820917323985 0.295643034375193 0.384530995573963 0.380608442768839 0.465523183795559 0.622229534702432 0.431425392099011 0.53061742287597 0.476789279821898 0.489931792343706 0.523287739785064 0.460893974915694 0.491972914320663 0.540567759913776 0.488816091142532 0.584683590353856 0.480466232185061 0.49663590955093 0.553828653799711 0.571437033556931 0.452344124191563 0.470031117139298 0.604270456335336 0.579425681238201 0.645273410388201 0.557638672496622 0.535234585579422 0.595012447092575 0.581811070173213 0.567217393369186 0.406003976397354 0.468001703010828 0.547321165537872 0.562933265400572 0.500478561855332 0.569516766912683 0.494359387399372 0.486683504710948 0.476579601269467 0.471017902733214 0.521081591584661 0.503363225582784 0.505565213142659 0.491089468995198 0.551650391902399 0.489865722988558 0.477278094212144 0.551827485949073 0.474180731889534 0.496258559963895 0.51758567928864 0.596304733253881 0.501101472856033 0.548893023671008 0.580370509384006 0.598661287901092 0.567457219009026 0.467685358465568 0.513747429441661 0.482319811382609 0.463432608612972 0.525691465826049 0.482940564834355 0.444052084943295 0.598727924653103 0.424357135746341 0.434972624414319 0.577142261166964 0.508670080361563 0.503513226596183 0.486209509666113 0.516250889981242 0.530927808433733 0.481196105595391 0.488720593128488 0.433861927099502 0.546966295151673 0.555310034622255 0.445828950482407 0.570784893219958 0.444937437422418 0.495347112708803 0.502533913513029 0.422498245368528 0.485404756021463 0.544579389093037 0.534854041697229 0.434657840061904 0.507564053084061 0.579515389778336 0.541136055276419 0.552156176330917 0.478338262677918 0.481390938263307 0.487405975141006 0.607355268353195 0.624615902854232 0.587870100679606 0.686727452127671 0.68855029382453 0.669669702252997 0.639990933740134 0.703774810843685 0.527199123136362 0.504177337403176 0.498777726970706 0.563037263070998 0.451513528155437 0.532022670154985 0.487788310874677 0.541741087172673 0.499625151078762 0.569223013422396 0.598993776120138 0.619422129773523 0.491904765239164
"bhagavatapurana_skandha-04_u" 0.566886394898089 0.239699115934674 0.360885389553929 0.255322327071738 0 0.367427827884481 0.328856063804369 0.321223503991967 0.32732750771184 0.333294743389174 0.513048575354075 0.268244060174314 0.356137725810349 0.372626056185966 0.47542550831742 0.643565111369715 0.436034796445858 0.533174154606606 0.47593090082532 0.471773444065635 0.500205092321124 0.445844106989314 0.48908821238704 0.559914865270559 0.471651031976528 0.575404870499106 0.484842016747836 0.496605470993114 0.551332271191082 0.57533042518726 0.445755085795148 0.481020914545748 0.601245703185858 0.564188559982064 0.664659635579804 0.559982396154517 0.568901796825233 0.624476594063844 0.589259736216778 0.578132276097219 0.397873143977675 0.481467754755577 0.561843062636388 0.556839102136977 0.483358670978017 0.578187525001684 0.470529293659537 0.466716490255978 0.46827803856644 0.462284650414204 0.507714861184493 0.494360655186193 0.483472537557184 0.482561341859104 0.535339067990144 0.472358724951211 0.439543452426122 0.539686316004581 0.457952827513215 0.483224514801787 0.507201545496774 0.577036725472873 0.499214551567973 0.543028365810941 0.584349320799506 0.597976224130987 0.553190083957774 0.456703924815476 0.531314573549547 0.485733178382978 0.460714314054844 0.523219605930315 0.47924854107514 0.41143014906089 0.585500391251151 0.432666625475064 0.418771857394037 0.569542362020441 0.487610104358925 0.479447142770642 0.455930660227773 0.468748496479343 0.49118042564039 0.441885807917898 0.458777431060231 0.428665939386412 0.519340860526799 0.512655792204549 0.411519741548697 0.576515329506615 0.47389426552132 0.490833336611305 0.529218664152807 0.41893712992774 0.472353712293076 0.535331246709425 0.529982403400165 0.399465727992242 0.510953482681576 0.568289152776319 0.550566851708844 0.540998674197754 0.47405190422613 0.500851651309679 0.479804906373421 0.615668073309151 0.618335436292033 0.602094797126336 0.672424717145722 0.709905890422596 0.669592432047362 0.650599289798149 0.694553458179485 0.546514409772436 0.492605209629322 0.499949382286606 0.558799161512957 0.437775735509031 0.557897171132119 0.502334428244125 0.558589973038768 0.490391014012216 0.564377964279997 0.603468868061722 0.644095278907912 0.475492972532086
"bhagavatapurana_skandha-05_u" 0.56154958164629 0.388377990192371 0.423041868759879 0.383750030253891 0.367427827884481 0 0.379217564762372 0.410556771592859 0.453503130386483 0.38692189920145 0.479502681085556 0.377812376664718 0.405289450654056 0.346900404901263 0.430109204765754 0.582141438524698 0.426094363422083 0.470138103650651 0.423491527607608 0.511598834034305 0.480657480192137 0.486111177164944 0.498589854040313 0.502477264908638 0.463581045901051 0.551939544181836 0.528706547465297 0.501102913438494 0.571435219568043 0.605397076121128 0.496689418909129 0.483410536070422 0.549140374849591 0.582967192458046 0.654409332812171 0.561553407425981 0.597172001930711 0.613163957367574 0.573877598714588 0.606881598508837 0.42694182798144 0.470407591114109 0.525137367040988 0.509121927591038 0.516471656337405 0.593954491599519 0.518996170980704 0.512522801140714 0.530043597299055 0.504871929153684 0.554682955089834 0.527928284491767 0.560315404404583 0.548653669947846 0.566749377383559 0.533516080648293 0.506403615167157 0.516539067431947 0.495361200154282 0.526605515252976 0.534852678023454 0.60233689859991 0.527682489487057 0.561455235218829 0.592636264928803 0.624605678233438 0.584616491455264 0.484294979193055 0.545656052691852 0.542369449544318 0.496179918442063 0.502422960002699 0.449632903968785 0.502708488766347 0.593088260955036 0.45328025678429 0.418171897723603 0.516342443334295 0.553584779247533 0.546080215764032 0.546083717726651 0.564880683601656 0.581379105958276 0.555251333787122 0.540350625982632 0.389736858558382 0.56235490838392 0.543955576961215 0.454116870180931 0.609181679711716 0.489057090335012 0.461225915996063 0.54374849786692 0.428182041608461 0.432105900210884 0.463493113220429 0.591723072467061 0.401710050378306 0.522915660265925 0.530737767002533 0.585609028330964 0.549631724031207 0.52553785158297 0.553278132040448 0.531495123657199 0.592146560342222 0.578317537182627 0.600039991174361 0.655048425504895 0.666686053274398 0.660067251709715 0.624284772128618 0.681476772328069 0.528087896984648 0.529249519840395 0.495925221473195 0.52752834864037 0.513703635986646 0.540041001187139 0.560525106481789 0.53483796749252 0.514575234362587 0.506811566600136 0.627152441001295 0.629491078177434 0.482075075480144
"bhagavatapurana_skandha-06_u" 0.592918638889512 0.31813565144994 0.392735508064226 0.342942892142758 0.328856063804369 0.379217564762372 0 0.240616242618544 0.265909786139948 0.340372427828562 0.529951936122939 0.281407541985336 0.272506994585014 0.356306655496223 0.464504016248501 0.560364986467166 0.39602771276762 0.524650496025899 0.451907868410305 0.433498277254509 0.491902094104176 0.430828214506126 0.526283921251149 0.539337354170145 0.406604558836258 0.540441608253392 0.491679478528134 0.48380773284002 0.554279075190959 0.581058243825887 0.450226647894291 0.46703305430387 0.576929752341959 0.564085509874483 0.644446273379693 0.554114764306988 0.573821931129254 0.613644791244925 0.59048910779258 0.56820989440587 0.404793576067779 0.44453994601655 0.528067751811819 0.573740530932208 0.429842449508174 0.57983698937024 0.409931391012529 0.415384640995421 0.417793403596413 0.402384727108012 0.514197980263937 0.485613957857019 0.499956422959479 0.498741727424759 0.531048970239388 0.444036434250418 0.436070178688384 0.499704287502127 0.388694696798667 0.413380734770942 0.520508703493425 0.532209659769746 0.4452162289642 0.506944659072392 0.543386001488124 0.540707872094793 0.532641957964638 0.428945948652622 0.486661159054724 0.454915353560762 0.430388574261588 0.480857946972205 0.514812637532409 0.416675355868791 0.572882720647904 0.41053218263679 0.392631591479891 0.610992599489834 0.479152706967145 0.473421445771955 0.504470782541986 0.482285979829424 0.498972059258834 0.486918955933058 0.456452297401549 0.374483049426503 0.561950716641424 0.57594978410368 0.43862167490937 0.529470804700555 0.433162463236088 0.494932316223169 0.482322047288059 0.402749419793419 0.472306715886867 0.534822986762602 0.549417258436234 0.410935326688307 0.48246959118218 0.549089976928993 0.51362614658377 0.541724842125897 0.460084188172846 0.467878327994922 0.470258387617522 0.583592350616597 0.578655367745664 0.552986921565934 0.671025911945093 0.643220658034502 0.642162844519251 0.619087148394154 0.669212045158218 0.538516411086452 0.515772086231911 0.404066557121522 0.526737574283897 0.449782896467941 0.502683365633748 0.41394855733252 0.482546444147449 0.466358724015313 0.563913224184853 0.524255382822767 0.566226606341742 0.397206069830994
"bhagavatapurana_skandha-07_u" 0.611970593768329 0.329281423673159 0.382872892509133 0.342091094257452 0.321223503991967 0.410556771592859 0.240616242618544 0 0.285063379598003 0.351281054654268 0.532411838630002 0.269774653834227 0.276442087893853 0.37546770906978 0.508042413779472 0.613592993343762 0.464708191450912 0.551464086393342 0.506464114573717 0.502129353660019 0.508876021109703 0.462216163913044 0.549478056632189 0.568367066536172 0.459945410447393 0.55584781599488 0.541295995332339 0.52460035695669 0.610819787781991 0.63404663787199 0.520013676625267 0.530035755222769 0.58597380793158 0.623418793830119 0.694769742108861 0.616402009404264 0.604863091355889 0.662646920922337 0.629140000777364 0.631064684771498 0.466205244863655 0.503487210015633 0.570682780287841 0.581912947716563 0.501974881823992 0.632306065803822 0.473307799540862 0.490508251183185 0.481871837310056 0.469662598387489 0.572036776876796 0.529551226321191 0.558231929846331 0.556206487548102 0.603292965453107 0.505171539245202 0.47507519425623 0.564579181170666 0.448710491676776 0.481236601718987 0.554131272368884 0.583352083591622 0.502336953654476 0.570661802411616 0.622905734374674 0.585044445073819 0.576030872762006 0.481351665653771 0.536355446783205 0.519955684469956 0.490104944735756 0.547416230430797 0.532741525492652 0.451614000400273 0.613394795438759 0.473644452201345 0.446480712556907 0.594712308206842 0.555749443885329 0.523947481621365 0.535737421139873 0.533892463377077 0.544473230727408 0.539659862725147 0.533046981991887 0.423078814980842 0.601684710728792 0.577804134007043 0.488502070009683 0.581617695348929 0.476807652527418 0.533115576858283 0.509038068687833 0.423679623820178 0.527640383184346 0.544279923875016 0.54418528591947 0.449070894888042 0.525195631973484 0.569059380249076 0.568695891813153 0.572837519193062 0.535912776505229 0.523758047083858 0.542901543689962 0.616884746218998 0.623557790723221 0.611557200116735 0.697784906132595 0.70013397721869 0.687778372625386 0.659442823206813 0.698105307311738 0.581466650421883 0.54027495078635 0.454827360378749 0.578031651605173 0.484617841852262 0.535147307709832 0.444509948149319 0.515411913310363 0.493829462678666 0.602626600850779 0.545915261640259 0.596544932744575 0.441915168952415
"bhagavatapurana_skandha-08_u" 0.601961711149693 0.322469010225676 0.422593808559458 0.351582179906102 0.32732750771184 0.453503130386483 0.265909786139948 0.285063379598003 0 0.321739235158971 0.562896701891244 0.242470880964635 0.354652050406868 0.380646015180117 0.453237242736261 0.580702327136298 0.358903218273739 0.522173699381908 0.441063442159147 0.423726941180569 0.498666157727656 0.418644941888685 0.512410400134274 0.555259510795813 0.439481951957633 0.571220303321171 0.474555975186231 0.485851838601314 0.549824469075281 0.539592073839799 0.419250343853346 0.478403916715722 0.572633278519516 0.554276044328402 0.655124944345471 0.554185718772638 0.565527795811796 0.623568002913977 0.581725326092907 0.557896451917661 0.359215154019968 0.484024230862312 0.536614029067701 0.563974201582859 0.411354737403602 0.545557624911864 0.432282541728549 0.410295034256712 0.439278014352175 0.460046153160728 0.493090104688184 0.451097395464923 0.478888151122137 0.487982301911803 0.528945890752008 0.443237676248148 0.451773579442256 0.5472951620845 0.451325906047348 0.447113869345338 0.535804881858137 0.589365032889318 0.447656462858919 0.505882109586906 0.546431036811811 0.566882941606482 0.536293698974252 0.423618370848498 0.471650598554114 0.440270028789834 0.406676224269572 0.498620510318251 0.530617692934418 0.459523200063356 0.558415363888734 0.394176937609322 0.367272599987485 0.604541999758724 0.466338743084235 0.478326157146104 0.457057611923688 0.481502821957578 0.501332473037027 0.443903736387062 0.447732938011019 0.38445737031268 0.578067577627374 0.574436635280592 0.430327784798217 0.515330121409012 0.418629278550415 0.480664290607079 0.432665097483934 0.39258306111381 0.490477127196234 0.561116046135327 0.516751577951032 0.425337842022882 0.456637784596293 0.577797193847532 0.486812097717022 0.558020157595531 0.457132222271608 0.436954819608755 0.463650713120576 0.612742262130377 0.620453009089111 0.545646782764222 0.670414357813371 0.674482586715896 0.652906603675545 0.635437819808845 0.655079530149854 0.551752803145511 0.527406494883539 0.389572603462357 0.535538638686406 0.485261761111263 0.47285066346752 0.369939193070032 0.472402013773705 0.494791247772364 0.577490749261796 0.513750481273131 0.536094307965762 0.38879602411961
"bhagavatapurana_skandha-09_u" 0.586227347330414 0.349715901431614 0.420046988991191 0.363926875615354 0.333294743389174 0.38692189920145 0.340372427828562 0.351281054654268 0.321739235158971 0 0.563913370252553 0.277768726591457 0.420305910942749 0.315414640986766 0.437462114213411 0.597986200515507 0.366575051426256 0.508447625351061 0.438440385092734 0.456699051879081 0.483180109677765 0.443689995680771 0.5473574431383 0.530266911296823 0.449835091813327 0.565468285619497 0.500118566060335 0.490466453886562 0.567685389993476 0.593633340693407 0.455280374072673 0.477251463756715 0.604791888134762 0.515967943352155 0.645885311863733 0.523588691652842 0.542466637968145 0.59264320726912 0.556154801548119 0.537212781473139 0.385824685852136 0.468921020965997 0.538492590289033 0.557171686490763 0.457047083268566 0.554291218226735 0.478986172568001 0.45979158351403 0.478689978285004 0.495843515973321 0.528290715871693 0.45418142453842 0.507297601654093 0.517694681022854 0.542368038960194 0.480399065220494 0.489220738296648 0.57271313273149 0.470261357958605 0.498099581322557 0.567556573871079 0.589078164378827 0.477849135195351 0.537019520447926 0.545838403167743 0.605437786067997 0.573073189979034 0.428013930647275 0.512181914449828 0.468768892615169 0.434004576982299 0.510399147959396 0.499903700593902 0.465892117607336 0.575787889503954 0.395224011455934 0.410237346542545 0.601290261416757 0.491944411681636 0.509963233771367 0.479790514457026 0.505156927745061 0.519861231135011 0.486844350804218 0.478149605619044 0.38493261181866 0.592353130191784 0.575295056466955 0.444239316624482 0.581014608888615 0.439179717429017 0.515080590023864 0.475746375137588 0.381235714683115 0.466338436243779 0.52597218295837 0.541203845314737 0.423542513258345 0.514096403686277 0.587724376998889 0.528061780983795 0.556329951520506 0.492208621683599 0.478520124816016 0.473625886212845 0.642336488670471 0.593203278092756 0.56697735023418 0.671953139829996 0.695948912392736 0.651707631786156 0.633514406153579 0.644504456565119 0.569447700250228 0.504993609640314 0.459773872067846 0.541081238632131 0.519447843999576 0.478711792447504 0.477449756702809 0.498517825894885 0.494706570769883 0.491091577983503 0.583941938343347 0.608795503527174 0.413946587001381
